a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
Red River Delta,,No,,,,No,,,No,,,2,0,0,30094282000
Red River Delta,,Yes,1,720,10,Yes,100,,No,,,0,0,0,119743224000
Red River Delta,,Yes,2,640,,Yes,65,,No,,,3,2,2,1517023000000
Red River Delta,,No,,,,No,,,No,,,3,3,0,245413215000
Red River Delta,,Yes,2,180,,Yes,3,,No,,,4,2,,19592961000
Red River Delta,,No,,,,No,,,No,,,0,0,,4567962000
Red River Delta,,Yes,2,540,,No,,,No,,,3,1,0,521692000000
Red River Delta,,No,,,,No,,,No,,,4,0,2,39390091000
Red River Delta,,No,,,,No,,,No,,,3,2,0,295110000000
Red River Delta,,Yes,1,485,2,No,,,No,,,1,0,1,3294937000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,3000000000
Red River Delta,,No,,,,No,,,No,,,1,1,2,30079972000
Red River Delta,,Yes,1,120,,No,,,No,,,1,1,,27855537000
Red River Delta,1,No,,,,No,,,No,,,0,0,0,91962932000
Red River Delta,,Yes,,,,No,,,No,,,3,1,2,94257000000
Red River Delta,,No,,,,No,,,No,,,0,0,,184630781000
Red River Delta,,No,,,,No,,,No,,,0,0,0,22000000000
Red River Delta,,No,,,,No,,,No,,,3,2,0,633448000000
Red River Delta,,Yes,1,15,,Yes,,5,No,,,0,0,,238206144000
Red River Delta,,Yes,1,740,,No,,,No,,,3,1,2,150170000000
Red River Delta,,Yes,2,740,,No,,,No,,,3,3,2,63504000000
Red River Delta,,No,,,,No,,,No,,,2,3,1,3790970000
Red River Delta,,No,,,,No,,,No,,,3,3,3,106842139000
Red River Delta,,Yes,3,630,,No,,,No,,,2,0,0,211989000
Red River Delta,,No,,,,No,,,No,,,3,2,0,8904000000
Red River Delta,1,No,,,,No,,,No,,,1,2,1,89150787000
Red River Delta,,Yes,1,,1,Yes,1,,No,,,1,1,1,119000000000
Red River Delta,,Yes,0,,,No,,,No,,,4,3,3,250941115000
Red River Delta,,Yes,0,,1,No,,,No,,,4,2,0,5000000000
Red River Delta,,Yes,1,740,,,,,No,,,3,2,2,368662000000
Red River Delta,,No,,,,Yes,70,,No,,,1,2,2,18437218000
Red River Delta,,Yes,,,5,No,,,No,,,0,0,2,77439772000
Red River Delta,,No,,,,No,,,No,,,0,0,0,249750000
Red River Delta,,Yes,1,15,,Yes,,,No,,,0,0,0,31884621000
Red River Delta,,No,,,,No,,,No,,,0,0,1,30134028000
Northern Midlands and Mountains,,Yes,3,130,,Yes,10,,No,,,3,0,,2600000000000
Red River Delta,,Yes,1,721,,No,,,No,,,3,2,2,248638000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,191407406000
Red River Delta,,No,,,,No,,,No,,,1,2,1,26632000000
Red River Delta,,Yes,2,90,,No,,,No,,,2,3,2,9904989000
Red River Delta,,Yes,3,30,,No,,,No,,,3,0,0,76936227000
Red River Delta,,No,,,,No,,,No,,,2,2,0,6500000000
